timestamp,date,time,symbol,price,open,high,low,previous_close,change,change_percent
2025-07-09 13:03:40,2025-07-09,13:03:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 13:04:40,2025-07-09,13:04:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 13:05:40,2025-07-09,13:05:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 13:06:40,2025-07-09,13:06:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 13:07:40,2025-07-09,13:07:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 13:08:40,2025-07-09,13:08:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 13:09:40,2025-07-09,13:09:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 13:10:40,2025-07-09,13:10:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 13:11:40,2025-07-09,13:11:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 13:12:40,2025-07-09,13:12:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 13:13:40,2025-07-09,13:13:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 13:14:40,2025-07-09,13:14:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:09:41,2025-07-09,14:09:41,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:10:11,2025-07-09,14:10:11,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:10:41,2025-07-09,14:10:41,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:11:40,2025-07-09,14:11:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:12:24,2025-07-09,14:12:24,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:12:41,2025-07-09,14:12:41,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:13:11,2025-07-09,14:13:11,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:14:40,2025-07-09,14:14:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:15:40,2025-07-09,14:15:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:16:40,2025-07-09,14:16:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:17:40,2025-07-09,14:17:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:18:20,2025-07-09,14:18:20,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:18:21,2025-07-09,14:18:21,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:18:51,2025-07-09,14:18:51,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:19:22,2025-07-09,14:19:22,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:19:52,2025-07-09,14:19:52,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:20:22,2025-07-09,14:20:22,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:21:40,2025-07-09,14:21:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:22:40,2025-07-09,14:22:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:23:40,2025-07-09,14:23:40,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:24:28,2025-07-09,14:24:28,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:24:31,2025-07-09,14:24:31,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:25:01,2025-07-09,14:25:01,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:25:38,2025-07-09,14:25:38,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:25:42,2025-07-09,14:25:42,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:25:46,2025-07-09,14:25:46,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:26:21,2025-07-09,14:26:21,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:26:28,2025-07-09,14:26:28,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:26:34,2025-07-09,14:26:34,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:26:37,2025-07-09,14:26:37,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:26:41,2025-07-09,14:26:41,AAPL,210.01,210.1,211.43,208.45,209.95,0.0600000000000022,0.0285782329125993
2025-07-09 14:26:43,2025-07-09,14:26:43,AAPL,210.01,210.1,211.43,208.45,209.95,0.060000000000002274,0.02857823291259932
